Temporada,Jugadora,Nacionalidad,Equipo,Puntos,Partidos,Rebotes Totales,Rebotes Ofensivos,Rebotes Defensivos,Asistencias,Balones recuperados,Balones perdidos,Tapones a favor,Tapones en contra,Faltas recibidas,Faltas cometidas,Valoración,Minutos jugados,% Tiros de 2,% Tiros de 3,% Tiros Libres
"2022/2023,""AIJANEN, MARIA ANNIINA"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,135,28,124,54,70,28,11,23,2,4,32,48,167,636:44,39 / 84,15 / 54,"
"2022/2023,""ALARCON OTERO, TXELL"",Nacional,KUTXABANK ARASKI,235,30,67,21,46,22,19,25,2,8,57,45,197,713:18,54 / 118,31 / 89,"
"2022/2023,""ALIAGA ROMERO, LAURA"",Nacional,DURÁN MAQUINARIA ENSINO,137,30,58,15,43,20,16,14,1,2,13,51,56,585:23,,29 / 116,"
"2022/2023,""ALONSO DE ARMIÑO RIAÑO, GRACIA"",Nacional,CASADEMONT ZARAGOZA,92,30,86,33,53,20,20,25,3,2,28,41,111,452:51,29 / 69,5 / 31,"
"2022/2023,""ANDERSON, JOLENE NANCY"",Extranjero,BARÇA CBS,312,29,142,32,110,53,40,26,7,7,30,33,377,853:49,41 / 100,67 / 150,"
"2022/2023,""ARIZTIMUÑO LOPEZ , ITZIAR"",Nacional,LOINTEK GERNIKA BIZKAIA,103,30,72,20,52,66,39,52,,8,66,40,183,614:26,30 / 72,,"
"2022/2023,""ARROJO JIMENEZ, MARIA BELEN"",Nacional,HOZONO GLOBAL JAIRIS,126,29,192,62,130,35,21,23,13,5,30,29,272,878:23,37 / 100,13 / 38,"
"2022/2023,""ASURMENDI VILLAVERDE, MARIA DEL CARMEN"",Nacional,KUTXABANK ARASKI,195,30,92,9,83,85,29,40,1,4,58,56,248,771:27,26 / 62,42 / 116,"
"2022/2023,""ATKINSON, TANAYA MECHELLE"",Extranjero,KUTXABANK ARASKI,442,29,165,16,149,72,46,72,2,12,121,41,500,933:49,139 / 272,22 / 82,98 / 140"
"2022/2023,""AUSTIN, VANESSA"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,186,30,121,61,60,9,9,48,4,12,71,78,164,522:28,76 / 147,,34 / 72"
"2022/2023,""BAHI BLANQUERA, GEORGINA"",Nacional,CADI LA SEU,232,30,94,24,70,34,25,36,6,5,67,57,233,734:54,45 / 80,38 / 119,"
"2022/2023,""BETTENCOURT CORREIA, MARIA JOAO"",Extranjero,HOZONO GLOBAL JAIRIS,246,29,109,11,98,80,31,58,2,4,62,75,211,734:58,50 / 136,36 / 127,"
"2022/2023,""BLASIGH, VITTORIA"",Extranjero,SPAR GRAN CANARIA,159,30,66,9,57,42,18,53,,3,27,95,44,755:16,30 / 85,28 / 91,"
"2022/2023,""BRCANINOVIC, MELISA"",Extranjero,HOZONO GLOBAL JAIRIS,257,28,133,33,100,26,11,20,2,4,60,56,253,668:40,49 / 131,32 / 99,63 / 74"
"2022/2023,""BROTONS PASCUAL, MONTSERRAT"",Nacional,CADI LA SEU,95,29,59,26,33,7,9,18,5,4,27,46,68,393:16,37 / 93,,"
